iter	Passed	Remaining
0	2	205
1	4	200
2	6	200
3	7	187
4	9	186
5	11	187
6	14	186
7	16	184
8	18	183
9	20	182
10	22	179
11	24	178
12	26	176
13	28	174
14	30	172
15	32	170
16	34	167
17	36	165
18	38	163
19	40	160
20	42	158
21	44	156
22	46	154
23	47	151
24	50	150
25	51	147
26	53	145
27	55	143
28	57	141
29	59	138
30	61	136
31	63	134
32	65	132
33	67	130
34	69	128
35	71	126
36	73	124
37	75	122
38	76	120
39	78	118
40	80	116
41	81	112
42	83	110
43	85	108
44	87	106
45	88	104
46	90	102
47	92	100
48	94	98
49	96	96
50	98	94
51	100	92
52	102	90
53	104	88
54	105	86
55	107	84
56	109	82
57	110	80
58	112	78
59	114	76
60	116	74
61	118	72
62	120	70
63	122	68
64	123	66
65	125	64
66	127	62
67	129	60
68	131	58
69	133	57
70	134	55
71	136	53
72	138	51
73	140	49
74	142	47
75	144	45
76	145	43
77	147	41
78	149	39
79	151	37
80	153	35
81	155	34
82	157	32
83	159	30
84	161	28
85	162	26
86	164	24
87	166	22
88	168	20
89	170	18
90	172	17
91	174	15
92	176	13
93	178	11
94	180	9
95	182	7
96	184	5
97	186	3
98	188	1
99	190	0
